"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day","pm_diff"
"111","2021-11-02",32.4871,-97.04825,"Worth Court",99159,NA,NA,14.173,"PurpleAir",2021,11,2,3.6695
"112","2021-11-03",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.519,"PurpleAir",2021,11,3,-6.654
"113","2021-11-04",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.9995,"PurpleAir",2021,11,4,-2.5195
"114","2021-11-05",32.4871,-97.04825,"Worth Court",99159,NA,NA,13.64,"PurpleAir",2021,11,5,8.6405
"115","2021-11-06",32.4871,-97.04825,"Worth Court",99159,NA,NA,16.443,"PurpleAir",2021,11,6,2.803
"116","2021-11-07",32.4871,-97.04825,"Worth Court",99159,NA,NA,15.2275,"PurpleAir",2021,11,7,-1.2155
"117","2021-11-08",32.4871,-97.04825,"Worth Court",99159,NA,NA,15.7535,"PurpleAir",2021,11,8,0.526000000000002
"118","2021-11-09",32.4871,-97.04825,"Worth Court",99159,NA,NA,15.2425,"PurpleAir",2021,11,9,-0.511000000000001
"119","2021-11-10",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.554,"PurpleAir",2021,11,10,-5.6885
"120","2021-11-11",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.7485,"PurpleAir",2021,11,11,-4.8055
"121","2021-11-12",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.7645,"PurpleAir",2021,11,12,-0.984
"122","2021-11-13",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.4875,"PurpleAir",2021,11,13,0.723
"123","2021-11-14",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.2105,"PurpleAir",2021,11,14,-1.277
"124","2021-11-15",32.4871,-97.04825,"Worth Court",99159,NA,NA,16.537,"PurpleAir",2021,11,15,13.3265
"125","2021-11-16",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.1325,"PurpleAir",2021,11,16,-10.4045
"126","2021-11-17",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.743,"PurpleAir",2021,11,17,-2.3895
"127","2021-11-18",32.4871,-97.04825,"Worth Court",99159,NA,NA,0.2745,"PurpleAir",2021,11,18,-3.4685
"128","2021-11-19",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.425,"PurpleAir",2021,11,19,2.1505
"129","2021-11-20",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.0685,"PurpleAir",2021,11,20,7.6435
"130","2021-11-21",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.367,"PurpleAir",2021,11,21,2.2985
"131","2021-11-22",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.559,"PurpleAir",2021,11,22,-7.808
"132","2021-11-23",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.5305,"PurpleAir",2021,11,23,0.971500000000001
