time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,o3_diff,Note
05/19/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.047471,NA,EPA,2022,5,19,-0.012117,
12/04/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.025941,NA,EPA,2019,12,4,-0.012118,
06/19/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.042176,NA,EPA,2023,6,19,-0.012353,
05/23/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039667,NA,EPA,2019,5,23,-0.012451,
05/16/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050706,NA,EPA,2022,5,16,-0.012588,
03/11/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028118,NA,EPA,2019,3,11,-0.012706,
05/21/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038882,NA,EPA,2022,5,21,-0.012706,
10/24/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.026118,NA,EPA,2019,10,24,-0.012823,
08/11/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.043059,NA,EPA,2023,8,11,-0.012823,
02/01/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030647,NA,EPA,2024,2,1,-0.012824,
03/24/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.031294,NA,EPA,2021,3,24,-0.012882,
03/26/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.025118,NA,EPA,2020,3,26,-0.012941,
06/16/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.037412,NA,EPA,2020,6,16,-0.012941,
06/02/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038176,NA,EPA,2024,6,2,-0.013,
07/16/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.042118,NA,EPA,2020,7,16,-0.013117,
05/20/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.037235,NA,EPA,2020,5,20,-0.013353,
04/28/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.037176,NA,EPA,2023,4,28,-0.013412,
08/18/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.05,NA,EPA,2023,8,18,-0.013412,
02/18/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.031059,NA,EPA,2021,2,18,-0.013529,
10/11/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035118,NA,EPA,2020,10,11,-0.013588,
08/07/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046412,NA,EPA,2021,8,7,-0.013647,
05/13/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.041471,NA,EPA,2023,5,13,-0.013882,
12/15/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.020235,NA,EPA,2019,12,15,-0.014118,
02/03/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.021176,NA,EPA,2021,2,3,-0.014236,
04/29/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.034529,NA,EPA,2019,4,29,-0.014295,
09/11/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038882,NA,EPA,2023,9,11,-0.014353,
02/15/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.022882,NA,EPA,2019,2,15,-0.014412,
09/13/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.048,NA,EPA,2021,9,13,-0.014529,
08/01/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044706,NA,EPA,2021,8,1,-0.014588,
04/22/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032267,NA,EPA,2019,4,22,-0.014615,
02/22/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.02525,NA,EPA,2019,2,22,-0.01475,
09/08/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.015941,NA,EPA,2020,9,8,-0.014765,
05/04/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.041647,NA,EPA,2023,5,4,-0.014765,
03/22/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028941,NA,EPA,2021,3,22,-0.015118,
