,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Notes
291,07/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.1545,PurpleAir,2023,7,1,-1.302,
76,06/10/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.1535,PurpleAir,2022,6,10,-12.929,
229,04/30/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,8.098,PurpleAir,2023,4,30,3.356,
313,08/07/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.9895,PurpleAir,2023,8,7,2.8895,
187,03/19/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.9635,PurpleAir,2023,3,19,3.435,
297,07/07/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.947,PurpleAir,2023,7,7,4.4205,
289,06/29/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.935,PurpleAir,2023,6,29,1.49,
321,08/15/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.9115,PurpleAir,2023,8,15,-2.3735,
286,06/26/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.7775,PurpleAir,2023,6,26,1.7405,
222,04/23/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.737,PurpleAir,2023,4,23,1.7235,
50,05/15/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.6805,PurpleAir,2022,5,15,-0.5485,
185,03/17/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.6735,PurpleAir,2023,3,17,-6.34,
140,01/31/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.6345,PurpleAir,2023,1,31,-8.719,
343,09/06/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.6295,PurpleAir,2023,9,6,-2.8565,
110,07/14/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.5915,PurpleAir,2022,7,14,-6.046,
346,09/09/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.591,PurpleAir,2023,9,9,2.138,
306,07/31/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.5475,PurpleAir,2023,7,31,-1.348,
243,05/14/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.5245,PurpleAir,2023,5,14,-10.587,
21,04/14/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.4765,PurpleAir,2022,4,14,-12.138,
9,03/31/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.465,PurpleAir,2022,3,31,-1.7795,
308,08/02/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.427,PurpleAir,2023,8,2,-1.5435,
99,07/03/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.35,PurpleAir,2022,7,3,-4.1385,
31,04/24/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.322,PurpleAir,2022,4,24,0.8625,
284,06/24/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.318,PurpleAir,2023,6,24,-13.2095,
133,01/24/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.291,PurpleAir,2023,1,24,-6.061,
271,06/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.154,PurpleAir,2023,6,11,-3.4875,
18,04/11/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.1155,PurpleAir,2022,4,11,4.12,
326,08/20/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.107,PurpleAir,2023,8,20,2.5965,
287,06/27/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.0985,PurpleAir,2023,6,27,-0.679,
124,01/15/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.093,PurpleAir,2023,1,15,-18.62,
207,04/08/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,7.0665,PurpleAir,2023,4,8,5.3625,
62,05/27/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.9695,PurpleAir,2022,5,27,-2.749,
230,05/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.8345,PurpleAir,2023,5,1,-1.2635,
213,04/14/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.8125,PurpleAir,2023,4,14,-12.6645,
223,04/24/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.795,PurpleAir,2023,4,24,-0.942,
301,07/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.7695,PurpleAir,2023,7,11,-1.6595,
104,07/08/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.7645,PurpleAir,2022,7,8,1.58,
209,04/10/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.747,PurpleAir,2023,4,10,-2.5055,
77,06/11/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.6885,PurpleAir,2022,6,11,-1.465,
190,03/22/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.6435,PurpleAir,2023,3,22,2.0825,
218,04/19/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.589,PurpleAir,2023,4,19,-1.856,
