,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Note
128,07/31/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.441,PurpleAir,2021,7,31,-4.874,
129,08/01/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.7645,PurpleAir,2021,8,1,2.3235,
130,08/02/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.862,PurpleAir,2021,8,2,-2.9025,
131,08/03/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.7345,PurpleAir,2021,8,3,6.8725,
132,08/04/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,17.4325,PurpleAir,2021,8,4,7.698,
133,08/05/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,12.1015,PurpleAir,2021,8,5,-5.331,
134,08/06/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.0765,PurpleAir,2021,8,6,-7.025,
135,08/07/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.9185,PurpleAir,2021,8,7,-1.158,
136,08/08/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.3525,PurpleAir,2021,8,8,-0.566,
137,08/09/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.985,PurpleAir,2021,8,9,0.6325,
138,08/10/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.9925,PurpleAir,2021,8,10,0.0075,
139,08/11/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.3255,PurpleAir,2021,8,11,-0.667,
140,08/12/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.786,PurpleAir,2021,8,12,0.4605,
141,08/13/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.507,PurpleAir,2021,8,13,-0.279,
142,08/14/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.294,PurpleAir,2021,8,14,-0.213,
143,08/15/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.8275,PurpleAir,2021,8,15,1.5335,
144,08/16/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.9055,PurpleAir,2021,8,16,2.078,
145,08/17/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.4085,PurpleAir,2021,8,17,-3.497,
146,08/18/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.5805,PurpleAir,2021,8,18,2.172,
147,08/19/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.152,PurpleAir,2021,8,19,2.5715,
148,08/20/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.114,PurpleAir,2021,8,20,-4.038,
149,08/21/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.8615,PurpleAir,2021,8,21,-0.2525,
150,08/22/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.2435,PurpleAir,2021,8,22,0.382,
151,08/23/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.2715,PurpleAir,2021,8,23,0.028,
152,08/24/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.5585,PurpleAir,2021,8,24,-0.713,
153,08/25/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.1915,PurpleAir,2021,8,25,-0.367,
154,08/26/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.5805,PurpleAir,2021,8,26,1.389,
155,08/27/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.573,PurpleAir,2021,8,27,4.9925,
156,08/28/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.697,PurpleAir,2021,8,28,-5.876,
157,08/29/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.755,PurpleAir,2021,8,29,0.058,
158,08/30/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.2625,PurpleAir,2021,8,30,1.5075,
159,08/31/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.28,PurpleAir,2021,8,31,0.0175,
160,09/01/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,17.4395,PurpleAir,2021,9,1,12.1595,
161,09/02/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.607,PurpleAir,2021,9,2,-8.8325,
